City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
370,Kavaratti,IN,81.14,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
372,Merauke,ID,87.69,scattered clouds,-8.4667,140.3333,
373,Noumea,NC,87.78,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
375,Bougouni,ML,72.07,scattered clouds,11.417,-7.479,Non Stop
377,Garowe,SO,67.35,broken clouds,8.4054,48.4845,Curubo Hotel
378,Axim,GH,78.53,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
384,Luanda,AO,77.52,overcast clouds,-8.8368,13.2343,Hotel Fórum
385,Tomatlan,MX,71.56,scattered clouds,19.9333,-105.25,El Salvial
388,Tabou,CI,78.26,clear sky,4.423,-7.3528,hotêl doufoulougou
389,Kulhudhuffushi,MV,81.32,broken clouds,6.6221,73.07,Haajy Guest House 1
390,Barra Dos Coqueiros,BR,80.62,scattered clouds,-10.9089,-37.0386,Jangadeiro
394,Florianopolis,BR,69.03,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
396,Bucerias,MX,78.78,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
397,Praia Da Vitoria,PT,64.65,broken clouds,38.7333,-27.0667,Hotel Branco I
399,Nouakchott,MR,78.73,broken clouds,18.0858,-15.9785,HOTEL IMAN
400,Mayumba,GA,76.6,moderate rain,-3.432,10.6554,LIKWALE LODGE
402,Yorosso,ML,73.24,clear sky,12.3536,-4.7761,Maison d'arrêt et de correction de Yoro
404,Libreville,GA,78.82,few clouds,0.3925,9.4537,Le Méridien Re-Ndama
405,San Policarpo,PH,84.79,scattered clouds,12.1791,125.5072,Agapita M. Nicart
409,Dalby,AU,74.1,broken clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
410,Alice Town,BS,76.21,broken clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
413,Ambilobe,MG,74.73,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
414,Saint-Leu,RE,73.67,few clouds,-21.15,55.2833,La Caz Oceane
416,Vilhena,BR,69.4,broken clouds,-12.7406,-60.1458,Hotel Mirage
420,Dekar,BW,68.0,overcast clouds,-21.5333,21.9333,
421,Tadine,NC,81.32,overcast clouds,-21.55,167.8833,
422,Damietta,EG,62.49,clear sky,31.4165,31.8133,SULIMAN INN
423,Warrnambool,AU,72.48,overcast clouds,-38.3833,142.4833,Lady Bay Resort
426,Ambatofinandrahana,MG,64.27,scattered clouds,-20.55,46.8,TATAMO
427,Policarpa,CO,67.86,light rain,1.6323,-77.462,Hotel Figueroa
428,Ewa Beach,US,82.35,overcast clouds,21.3156,-158.0072,Uncle Junior Robert
429,Kambove,CD,60.69,overcast clouds,-10.8764,26.5969,Couvant des soeurs catholiques
430,Busia,UG,61.99,overcast clouds,0.4544,34.0758,Chefwest Hotel
431,Yenagoa,NG,75.54,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
432,Sur,OM,76.35,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
433,Tucuma,BR,77.13,scattered clouds,-0.1833,-50.05,
435,Rio Grande,BR,70.88,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
437,Beira,MZ,78.89,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
438,Jambi,ID,87.64,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
441,Mbanza-Ngungu,CD,66.31,moderate rain,-5.25,14.8667,Hotel Full Business
443,Natal,BR,80.82,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
450,Cidreira,BR,69.82,few clouds,-30.1811,-50.2056,Hotel Castelo
452,Salinas,US,65.01,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
456,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
457,Diffa,NE,75.11,clear sky,13.3154,12.6113,ProDAF/Diffa
462,Malpe,IN,79.9,few clouds,13.35,74.7167,Hotel Sri Krishna Residency
465,Katobu,ID,89.71,few clouds,-4.9408,122.5276,La Ode Husein
468,Leopold,AU,79.97,overcast clouds,-38.1833,144.4667,Avila Vista
